Titel;Beschreibung;Art;Bestand;Mindestbestand;Sollbestand;Losgröße;Datum;Letzte MTK;MTK Intervall;Letzte STK;STK Intervall;Inventarnummer;Seriennummer;UMDNS;Chargennummer;Lagerort
Adrenalin;;MedMat;5;0;0;0;01/03/2017;;;;;;;;M031510;Ampullarium (NFR, KTW-B)
Atropin;;MedMat;2;0;0;0;01/04/2017;;;;;;;;14201034;Ampullarium (NFR, KTW-B)
Midazolam;;MedMat;1;0;0;0;01/05/2017;;;;;;;;19529;Ampullarium (NFR, KTW-B)
Cordarex;;MedMat;2;0;0;0;01/07/2017;;;;;;;;AY017;Ampullarium (NFR, KTW-B)
Sultanol;;MedMat;1;0;0;0;01/07/2017;;;;;;;;PJ7G;Ampullarium (NFR, KTW-B)
Nitrolingual;;MedMat;1;0;0;0;01/08/2017;;;;;;;;241539;Ampullarium (NFR, KTW-B)
Aqua;;MedMat;4;0;0;0;01/10/2017;;;;;;;;14465012;Ampullarium (NFR, KTW-B)
Glucose;;MedMat;4;0;0;0;01/02/2017;;;;;;;;14125011;Ampullarium (NFR, KTW-B)
Ibuprofen 400mg;;MedMat;10;0;0;0;01/04/2018;;;;;;;;DR5437;Ampullarium (NFR, KTW-B)
Nitrolingual-Spray;;MedMat;1;0;0;0;01/08/2017;;;;;;;;241539;SEG-Rucksack (KdoW)
Sultanol;;MedMat;1;0;0;0;01/07/2017;;;;;;;;PJ7G;SEG-Rucksack (KdoW)
Ibuprofen 400mg;;MedMat;10;0;0;0;01/04/2018;;;;;;;;DR5437;SEG-Rucksack (KdoW)
Nitrolingual-Spray;;MedMat;1;0;0;0;01/03/2017;;;;;;;;239176;SEG-Rucksack (KTW-B)
Sultanol;;MedMat;1;0;0;0;01/07/2017;;;;;;;;PJ7G;SEG-Rucksack (KTW-B)
Ibuprofen 400mg;;MedMat;10;0;0;0;01/04/2018;;;;;;;;DR5437;SEG-Rucksack (KTW-B)
Nitrolingual-Spray;;MedMat;1;0;0;0;01/08/2017;;;;;;;;241539;SEG-Rucksack (Vito Land)
